SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2017,Single Family Residential,1538 Stuart St,Berkeley,CA,94703,663000,2,1.0,Central Berkeley,1003,5400,1921,26,661,,Sold,,,http://www.redfin.com/CA/Berkeley/1538-Stuart-St-94703/home/1497925,EBRD/CCAR/Bay East,40787125,N,Y,37.8569289,-122.2781471
PAST SALE,,Single Family Residential,1635 Curtis St,Berkeley,CA,94702,825000,3,1.0,,981,3000,1933,,841,,,,,http://www.redfin.com/CA/Berkeley/1635-Curtis-St-94702/home/1291964,,,N,Y,37.87445,-122.2899841
PAST SALE,September-1-2017,Single Family Residential,1330 Carleton St,Berkeley,CA,94702,920000,2,1.5,Lorin,1080,5320,1924,19,852,,Sold,,,http://www.redfin.com/CA/Berkeley/1330-Carleton-St-94702/home/1672691,EBRD/CCAR/Bay East,40790996,N,Y,37.85902,-122.2834929
PAST SALE,September-11-2017,Multi-Family (2-4 Unit),1337 Hearst Ave,Berkeley,CA,94702,533500,2,2.0,Berkeley,1388,3300,1923,9,384,,Sold,,,http://www.redfin.com/CA/Berkeley/1337-Hearst-Ave-94702/home/2000843,EBRD/CCAR/Bay East,40787980,N,Y,37.871584,-122.28626
PAST SALE,,Single Family Residential,1402 Carleton St,Berkeley,CA,94702,665000,3,1.0,,1044,3432,1921,,637,,,,,http://www.redfin.com/CA/Berkeley/1402-Carleton-St-94702/home/661868,,,N,Y,37.8592169,-122.2819424
PAST SALE,August-18-2017,Single Family Residential,1307 Blake St,Berkeley,CA,94702,930000,2,1.0,South Berkeley,1062,3500,1922,33,876,,Sold,,,http://www.redfin.com/CA/Berkeley/1307-Blake-St-94702/home/661118,EBRD/CCAR/Bay East,40787877,N,Y,37.86099,-122.2849129
PAST SALE,May-12-2017,Condo/Co-op,321 63RD St Unit B,Oakland,CA,94618,815000,1,1.0,Rockridge,,,1944,131,,250,Sold,,,http://www.redfin.com/CA/Oakland/321-63rd-St-94618/unit-B/home/113752300,EBRD/CCAR/Bay East,40777952,N,Y,37.850245,-122.2530011
PAST SALE,,Single Family Residential,28 Armanino Ct,Oakland,CA,94618,569500,2,1.0,,1116,3400,1922,,510,,,,,http://www.redfin.com/CA/Oakland/28-Armanino-Ct-94618/home/1808419,,,N,Y,37.8492083,-122.2515445
PAST SALE,March-31-2017,Single Family Residential,1240 Carrison St,BERKELEY,CA,94702,735000,2,1.0,BERKELEY,1032,4356,1908,173,712,,Sold,,,http://www.redfin.com/CA/Berkeley/1240-Carrison-St-94702/home/2030273,MLSListings,ML81640653,N,Y,37.851479,-122.284412
PAST SALE,,Single Family Residential,1631 Woolsey St,Berkeley,CA,94703,1100000,3,2.0,,2594,5940,1919,,424,,,,,http://www.redfin.com/CA/Berkeley/1631-Woolsey-St-94703/home/1143583,,,N,Y,37.8512968,-122.2748658
